date,country,contested election,crop failure,economic concern,military coup,political assassination,natural disaster,ethnic tension
01-2018,Honduras,0,0,0,0,0,0,0
02-2018,Honduras,0,0,0,0,0,0,0
03-2018,Honduras,0,0,0,0,0,1,0
04-2018,Honduras,0,0,0,0,0,0,0
05-2018,Honduras,0,0,0,0,0,0,0
06-2018,Honduras,0,0,0,0,0,0,0
07-2018,Honduras,0,0,0,0,0,0,0
08-2018,Honduras,0,1,0,0,0,0,0
09-2018,Honduras,0,0,0,0,0,0,0
10-2018,Honduras,0,0,0,0,0,0,0
11-2018,Honduras,0,0,0,0,0,0,0
12-2018,Honduras,0,0,0,0,0,0,0
